Virus Name	Record ID	UniProt ID	ESMFold pLDDT	ColabFold pLDDT	Chosen Method	structure_file	protlen	Genome_composition	Kingdom	Phylum	Class	Order	Family	Genus	Species	Virus_names
human_adenovirus_32	AFK92493.1_12200	M0QUT8	34.1	64.3	ColabFold	human_adenovirus_32_CF-AFK92493.1_12200_relaxed.pdb	334	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_31	CAO78635.1_12149	D0Z5S9	34.5	65.8	ColabFold	human_adenovirus_31_CF-CAO78635.1_12149_relaxed.pdb	347	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_3	ABB17801.1_12151	Q2Y0H7	36.9	62.8	ColabFold	human_adenovirus_3_CF-ABB17801.1_12151_relaxed.pdb	349	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_35	AAN17483.1_12158	Q7T939	34.6	63.5	ColabFold	human_adenovirus_35_CF-AAN17483.1_12158_relaxed.pdb	351	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_34	AAW33483.1_12157	Q3ZKZ1	33.9	63.6	ColabFold	human_adenovirus_34_CF-AAW33483.1_12157_relaxed.pdb	351	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_37	ABK59080.1_12203	Q64823	57.0	86.3	ColabFold	human_adenovirus_37_CF-ABK59080.1_12203_relaxed.pdb	365	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_31	CAO78631.1_12149	D0Z5S5	38.7	75.8	ColabFold	human_adenovirus_31_CF-CAO78631.1_12149_relaxed.pdb	368	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_30	AEY79566.1_12199	M0QTT0	42.7	75.5	ColabFold	human_adenovirus_30_CF-AEY79566.1_12199_relaxed.pdb	371	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04488.1_12202	D4N3K6	51.6	83.5	ColabFold	human_adenovirus_36_CF-ACY04488.1_12202_relaxed.pdb	371	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92489.1_12200	M0QUT4	40.9	76.3	ColabFold	human_adenovirus_32_CF-AFK92489.1_12200_relaxed.pdb	372	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04465.1_12202	D4N3I3	40.8	75.5	ColabFold	human_adenovirus_36_CF-ACY04465.1_12202_relaxed.pdb	372	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92649.1_12205	M0QV93	42.7	75.7	ColabFold	human_adenovirus_39_CF-AFK92649.1_12205_relaxed.pdb	373	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_33	AFK92569.1_12201	M0QV13	43.2	75.6	ColabFold	human_adenovirus_33_CF-AFK92569.1_12201_relaxed.pdb	373	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92609.1_12204	M0QV53	41.2	76.0	ColabFold	human_adenovirus_38_CF-AFK92609.1_12204_relaxed.pdb	374	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_37	ABK59064.1_12203	B2VQE9	41.6	75.0	ColabFold	human_adenovirus_37_CF-ABK59064.1_12203_relaxed.pdb	374	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92632.1_12204	M0QV76	55.8	82.0	ColabFold	human_adenovirus_38_CF-AFK92632.1_12204_relaxed.pdb	381	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_33	AFK92592.1_12201	M0QV36	55.9	83.4	ColabFold	human_adenovirus_33_CF-AFK92592.1_12201_relaxed.pdb	382	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92512.1_12200	M0QUV7	55.9	83.4	ColabFold	human_adenovirus_32_CF-AFK92512.1_12200_relaxed.pdb	382	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92672.1_12205	M0QVB6	54.5	82.0	ColabFold	human_adenovirus_39_CF-AFK92672.1_12205_relaxed.pdb	382	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_3	ABB17797.1_12151	Q2Y0I1	38.7	73.9	ColabFold	human_adenovirus_3_CF-ABB17797.1_12151_relaxed.pdb	385	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_30	AEY79589.1_12199	M0QTV3	53.6	84.8	ColabFold	human_adenovirus_30_CF-AEY79589.1_12199_relaxed.pdb	385	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_34	AAW33479.1_12157	Q3ZKZ5	41.9	74.0	ColabFold	human_adenovirus_34_CF-AAW33479.1_12157_relaxed.pdb	386	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_35	AAN17479.1_12158	Q6YL77	42.2	72.9	ColabFold	human_adenovirus_35_CF-AAN17479.1_12158_relaxed.pdb	388	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_33	AFK92586.1_12201	M0QV30	74.5	68.5	ESMFold	human_adenovirus_33_EF-AFK92586.1_12201_relaxed.pdb	407	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92666.1_12205	M0QVB0	77.8	69.1	ESMFold	human_adenovirus_39_EF-AFK92666.1_12205_relaxed.pdb	415	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_30	AEY79583.1_12199	M0QTU7	76.9	66.9	ESMFold	human_adenovirus_30_EF-AEY79583.1_12199_relaxed.pdb	417	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92506.1_12200	M0QUV1	76.9	66.9	ESMFold	human_adenovirus_32_EF-AFK92506.1_12200_relaxed.pdb	417	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04482.1_12202	D4N3K0	75.5	67.5	ESMFold	human_adenovirus_36_EF-ACY04482.1_12202_relaxed.pdb	418	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92626.1_12204	M0QV70	75.6	66.5	ESMFold	human_adenovirus_38_EF-AFK92626.1_12204_relaxed.pdb	418	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_37	ABK59079.1_12203	Q77N38	72.2	66.7	ESMFold	human_adenovirus_37_EF-ABK59079.1_12203_relaxed.pdb	428	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_34	AAW33475.1_12157	Q3ZKZ9	74.4	80.4	ColabFold	human_adenovirus_34_CF-AAW33475.1_12157_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_39	AFK92646.1_12205	M0QV90	76.7	81.9	ColabFold	human_adenovirus_39_CF-AFK92646.1_12205_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_33	AFK92566.1_12201	M0QV10	75.5	81.2	ColabFold	human_adenovirus_33_CF-AFK92566.1_12201_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_37	ABK59061.1_12203	B2VQE6	75.5	81.1	ColabFold	human_adenovirus_37_CF-ABK59061.1_12203_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04461.1_12202	D4N3H9	76.2	81.6	ColabFold	human_adenovirus_36_CF-ACY04461.1_12202_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92486.1_12200	M0QUT1	75.5	81.1	ColabFold	human_adenovirus_32_CF-AFK92486.1_12200_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92606.1_12204	M0QV50	75.8	81.9	ColabFold	human_adenovirus_38_CF-AFK92606.1_12204_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_35	AAN17475.1_12158	Q7T948	74.4	80.4	ColabFold	human_adenovirus_35_CF-AAN17475.1_12158_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_3	ABB17777.1_12151	Q2Y0J0	73.9	81.6	ColabFold	human_adenovirus_3_CF-ABB17777.1_12151_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_30	AEY79563.1_12199	M0QTS7	75.5	81.2	ColabFold	human_adenovirus_30_CF-AEY79563.1_12199_relaxed.pdb	448	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_31	CAO78628.1_12149	D0Z5S2	67.4	81.1	ColabFold	human_adenovirus_31_CF-CAO78628.1_12149_relaxed.pdb	449	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_31	CAO78626.1_12149	D0Z5S0	57.8	80.9	ColabFold	human_adenovirus_31_CF-CAO78626.1_12149_relaxed.pdb	472	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_31	CAO78640.1_12149	D0Z5T4	37.2	77.1	ColabFold	human_adenovirus_31_CF-CAO78640.1_12149_relaxed.pdb	485	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_33	AFK92578.1_12201	M0QV22	39.1	78.1	ColabFold	human_adenovirus_33_CF-AFK92578.1_12201_relaxed.pdb	489	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92618.1_12204	M0QV62	39.5	77.9	ColabFold	human_adenovirus_38_CF-AFK92618.1_12204_relaxed.pdb	489	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04474.1_12202	D4N3J2	38.8	77.9	ColabFold	human_adenovirus_36_CF-ACY04474.1_12202_relaxed.pdb	489	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92658.1_12205	M0QVA2	39.9	77.4	ColabFold	human_adenovirus_39_CF-AFK92658.1_12205_relaxed.pdb	490	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92498.1_12200	M0QUU3	39.7	77.8	ColabFold	human_adenovirus_32_CF-AFK92498.1_12200_relaxed.pdb	490	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_37	ABK59072.1_12203	B2VQF8	38.8	77.5	ColabFold	human_adenovirus_37_CF-ABK59072.1_12203_relaxed.pdb	490	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_30	AEY79575.1_12199	M0QTT9	39.1	77.4	ColabFold	human_adenovirus_30_CF-AEY79575.1_12199_relaxed.pdb	492	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_3	ABB17771.1_12151	Q2Y0J2	61.6	76.8	ColabFold	human_adenovirus_3_CF-ABB17771.1_12151_relaxed.pdb	492	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_35	AAN17473.1_12158	Q6YL82	59.0	76.5	ColabFold	human_adenovirus_35_CF-AAN17473.1_12158_relaxed.pdb	494	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_34	AAW33473.1_12157	Q3ZL01	58.0	76.6	ColabFold	human_adenovirus_34_CF-AAW33473.1_12157_relaxed.pdb	494	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_32	AFK92484.1_12200	M0QUT0	56.9	76.9	ColabFold	human_adenovirus_32_CF-AFK92484.1_12200_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_33	AFK92564.1_12201	M0QV09	57.1	76.3	ColabFold	human_adenovirus_33_CF-AFK92564.1_12201_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04459.1_12202	D4N3H7	56.5	76.9	ColabFold	human_adenovirus_36_CF-ACY04459.1_12202_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_30	AEY79561.1_12199	M0QTS6	57.1	76.3	ColabFold	human_adenovirus_30_CF-AEY79561.1_12199_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92604.1_12204	M0QV48	57.0	77.2	ColabFold	human_adenovirus_38_CF-AFK92604.1_12204_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92644.1_12205	M0QV88	56.1	76.8	ColabFold	human_adenovirus_39_CF-AFK92644.1_12205_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_37	ABK59059.1_12203	B2VQE4	56.5	76.9	ColabFold	human_adenovirus_37_CF-ABK59059.1_12203_relaxed.pdb	495	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_31	CAO78633.1_12149	D0Z5S7	29.1	83.2	ColabFold	human_adenovirus_31_CF-CAO78633.1_12149_relaxed.pdb	505	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_38	AFK92611.1_12204	M0QV55	30.6	81.4	ColabFold	human_adenovirus_38_CF-AFK92611.1_12204_relaxed.pdb	515	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_30	AEY79568.1_12199	M0QTT2	32.6	81.9	ColabFold	human_adenovirus_30_CF-AEY79568.1_12199_relaxed.pdb	517	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_3	ABB17782.1_12151	Q2Y0H2	40.4	75.4	ColabFold	human_adenovirus_3_CF-ABB17782.1_12151_relaxed.pdb	517	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_33	AFK92571.1_12201	M0QV15	29.6	80.4	ColabFold	human_adenovirus_33_CF-AFK92571.1_12201_relaxed.pdb	517	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_34	AAW33487.1_12157	Q3ZKY7	39.5	75.7	ColabFold	human_adenovirus_34_CF-AAW33487.1_12157_relaxed.pdb	518	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_37	ABK59086.1_12203	B2VQF1	27.6	81.1	ColabFold	human_adenovirus_37_CF-ABK59086.1_12203_relaxed.pdb	519	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92651.1_12205	M0QV95	29.4	82.4	ColabFold	human_adenovirus_39_CF-AFK92651.1_12205_relaxed.pdb	519	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04467.1_12202	D4N3I5	29.4	81.1	ColabFold	human_adenovirus_36_CF-ACY04467.1_12202_relaxed.pdb	520	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92491.1_12200	M0QUT6	30.1	82.7	ColabFold	human_adenovirus_32_CF-AFK92491.1_12200_relaxed.pdb	522	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_3	ABB17799.1_12151	Q2Y0H9	31.8	78.3	ColabFold	human_adenovirus_3_CF-ABB17799.1_12151_relaxed.pdb	544	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_31	CAO78651.1_12149	D0Z5U5	62.3	79.1	ColabFold	human_adenovirus_31_CF-CAO78651.1_12149_relaxed.pdb	556	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_34	ABC49791.1_12157	Q2TP37	28.5	79.8	ColabFold	human_adenovirus_34_CF-ABC49791.1_12157_relaxed.pdb	558	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_30	AEY79567.1_12199	M0QTT1	43.2	61.2	ColabFold	human_adenovirus_30_CF-AEY79567.1_12199_relaxed.pdb	560	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04466.1_12202	D4N3I4	44.3	60.6	ColabFold	human_adenovirus_36_CF-ACY04466.1_12202_relaxed.pdb	561	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_35	AAN17481.2_12158	Q7T941	30.0	78.8	ColabFold	human_adenovirus_35_CF-AAN17481.2_12158_relaxed.pdb	561	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_32	AFK92490.1_12200	M0QUT5	42.9	61.2	ColabFold	human_adenovirus_32_CF-AFK92490.1_12200_relaxed.pdb	563	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_33	AFK92570.1_12201	M0QV14	43.3	62.1	ColabFold	human_adenovirus_33_CF-AFK92570.1_12201_relaxed.pdb	563	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_37	ABK59065.1_12203	B2VQF0	43.1	61.9	ColabFold	human_adenovirus_37_CF-ABK59065.1_12203_relaxed.pdb	563	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92610.1_12204	M0QV54	43.4	61.0	ColabFold	human_adenovirus_38_CF-AFK92610.1_12204_relaxed.pdb	564	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92650.1_12205	M0QV94	43.9	61.7	ColabFold	human_adenovirus_39_CF-AFK92650.1_12205_relaxed.pdb	565	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_31	CAO78632.1_12149	D0Z5S6	43.4	62.9	ColabFold	human_adenovirus_31_CF-CAO78632.1_12149_relaxed.pdb	578	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_34	AAW33481.1_12157	Q3ZKZ3	41.2	60.2	ColabFold	human_adenovirus_34_CF-AAW33481.1_12157_relaxed.pdb	587	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_35	AAN17480.1_12158	Q7T942	41.2	60.2	ColabFold	human_adenovirus_35_CF-AAN17480.1_12158_relaxed.pdb	587	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_3	ABB17798.1_12151	Q2Y0I0	40.0	59.2	ColabFold	human_adenovirus_3_CF-ABB17798.1_12151_relaxed.pdb	588	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	
human_adenovirus_30	AEY79565.1_12199	M0QTS9	30.3	73.8	ColabFold	human_adenovirus_30_CF-AEY79565.1_12199_relaxed.pdb	624	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_32	AFK92488.1_12200	M0QUT3	30.5	73.9	ColabFold	human_adenovirus_32_CF-AFK92488.1_12200_relaxed.pdb	624	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_39	AFK92648.1_12205	M0QV92	31.1	73.8	ColabFold	human_adenovirus_39_CF-AFK92648.1_12205_relaxed.pdb	624	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_33	AFK92568.1_12201	M0QV12	30.4	73.9	ColabFold	human_adenovirus_33_CF-AFK92568.1_12201_relaxed.pdb	624	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_38	AFK92608.1_12204	M0QV52	30.6	73.9	ColabFold	human_adenovirus_38_CF-AFK92608.1_12204_relaxed.pdb	625	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_31	CAO78630.1_12149	D0Z5S4	30.1	75.3	ColabFold	human_adenovirus_31_CF-CAO78630.1_12149_relaxed.pdb	633	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	
human_adenovirus_37	ABK59063.2_12203	B2VQE8	30.8	74.0	ColabFold	human_adenovirus_37_CF-ABK59063.2_12203_relaxed.pdb	635	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
human_adenovirus_36	ACY04464.1_12202	D4N3I2	30.8	74.9	ColabFold	human_adenovirus_36_CF-ACY04464.1_12202_relaxed.pdb	635	dsDNA	Bamfordvirae	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	
